"특성별(1)","특성별(2)",지출금액별(1),지출금액별(2),2022,2023,2024
"전체","소계",1년 기준,3만원 미만 (%),-,-,1.2
"전체","소계",1년 기준,3만원~5만원 미만 (%),-,1.2,2.1
"전체","소계",1년 기준,5만원~10만원 미만 (%),-,9.8,10.1
"전체","소계",1년 기준,10만원 미만 (%),7.0,-,-
"전체","소계",1년 기준,10만원~15만원 미만 (%),-,12.5,18.0
"전체","소계",1년 기준,10만원~20만원 미만 (%),21.5,-,-
"전체","소계",1년 기준,15만원~20만원 미만 (%),-,11.9,11.3
"전체","소계",1년 기준,20만원 이상 (%),-,64.5,57.3
"전체","소계",1년 기준,20만원~30만원 미만 (%),20.8,-,-
"전체","소계",1년 기준,30만원~40만원 미만 (%),19.7,-,-
"전체","소계",1년 기준,40만원~50만원 미만 (%),11.3,-,-
"전체","소계",1년 기준,50만원 이상 (%),19.7,-,-
"전체","소계",1년 기준,평균 (원),318482,304051,303519
"전체","소계",1달 기준,1만원~3만원 미만 (%),-,7.4,-
"전체","소계",1달 기준,3만원~5만원 미만 (%),-,30.8,-
"전체","소계",1달 기준,5만원~10만원 미만 (%),-,42.7,-
"전체","소계",1달 기준,10만원 이상 (%),-,19.1,-
"전체","소계",1달 기준,평균 (원),-,55598,-
"거주지역별","수도권",1년 기준,3만원 미만 (%),-,-,0.9
"거주지역별","수도권",1년 기준,3만원~5만원 미만 (%),-,0.7,2.2
"거주지역별","수도권",1년 기준,5만원~10만원 미만 (%),-,11.1,10.4
"거주지역별","수도권",1년 기준,10만원 미만 (%),6.8,-,-
"거주지역별","수도권",1년 기준,10만원~15만원 미만 (%),-,7.9,19.2
"거주지역별","수도권",1년 기준,10만원~20만원 미만 (%),15.7,-,-
"거주지역별","수도권",1년 기준,15만원~20만원 미만 (%),-,12.5,11.2
"거주지역별","수도권",1년 기준,20만원 이상 (%),-,67.9,56.1
"거주지역별","수도권",1년 기준,20만원~30만원 미만 (%),25.2,-,-
"거주지역별","수도권",1년 기준,30만원~40만원 미만 (%),24.9,-,-
"거주지역별","수도권",1년 기준,40만원~50만원 미만 (%),12.9,-,-
"거주지역별","수도권",1년 기준,50만원 이상 (%),14.5,-,-
"거주지역별","수도권",1년 기준,평균 (원),299682,337396,335604
"거주지역별","수도권",1달 기준,1만원~3만원 미만 (%),-,5.2,-
"거주지역별","수도권",1달 기준,3만원~5만원 미만 (%),-,26.2,-
"거주지역별","수도권",1달 기준,5만원~10만원 미만 (%),-,44.5,-
"거주지역별","수도권",1달 기준,10만원 이상 (%),-,24.0,-
"거주지역별","수도권",1달 기준,평균 (원),-,59054,-
"거주지역별","충청권",1년 기준,3만원 미만 (%),-,-,0.4
"거주지역별","충청권",1년 기준,3만원~5만원 미만 (%),-,0.5,0.0
"거주지역별","충청권",1년 기준,5만원~10만원 미만 (%),-,15.9,4.8
"거주지역별","충청권",1년 기준,10만원 미만 (%),6.2,-,-
"거주지역별","충청권",1년 기준,10만원~15만원 미만 (%),-,19.9,18.4
"거주지역별","충청권",1년 기준,10만원~20만원 미만 (%),28.4,-,-
"거주지역별","충청권",1년 기준,15만원~20만원 미만 (%),-,9.5,15.3
"거주지역별","충청권",1년 기준,20만원 이상 (%),-,54.2,61.1
"거주지역별","충청권",1년 기준,20만원~30만원 미만 (%),22.7,-,-
"거주지역별","충청권",1년 기준,30만원~40만원 미만 (%),15.5,-,-
"거주지역별","충청권",1년 기준,40만원~50만원 미만 (%),11.8,-,-
"거주지역별","충청권",1년 기준,50만원 이상 (%),15.4,-,-
"거주지역별","충청권",1년 기준,평균 (원),295651,203725,253422
"거주지역별","충청권",1달 기준,1만원~3만원 미만 (%),-,4.3,-
"거주지역별","충청권",1달 기준,3만원~5만원 미만 (%),-,38.7,-
"거주지역별","충청권",1달 기준,5만원~10만원 미만 (%),-,50.0,-
"거주지역별","충청권",1달 기준,10만원 이상 (%),-,7.0,-
"거주지역별","충청권",1달 기준,평균 (원),-,51203,-
"거주지역별","호남권",1년 기준,3만원 미만 (%),-,-,0.4
"거주지역별","호남권",1년 기준,3만원~5만원 미만 (%),-,0.0,1.2
"거주지역별","호남권",1년 기준,5만원~10만원 미만 (%),-,4.1,6.2
"거주지역별","호남권",1년 기준,10만원 미만 (%),1.8,-,-
"거주지역별","호남권",1년 기준,10만원~15만원 미만 (%),-,18.2,15.4
"거주지역별","호남권",1년 기준,10만원~20만원 미만 (%),16.5,-,-
"거주지역별","호남권",1년 기준,15만원~20만원 미만 (%),-,13.5,14.4
